Characteristic,all_icu_adult,sepsis_ase_icu,cardiac_arrest_poa_icu
"Hospitalizations, n",41187,11492,1530
"Patients, n",33659,10428,1518
"Age at admission, median [IQR]","61.0 [47.0, 71.0]","62.0 [49.0, 71.0]","60.0 [49.0, 69.0]"
"ICU LOS hours, median [IQR]","57.9 [27.8, 140.9]","138.9 [59.6, 338.2]","114.1 [41.3, 238.4]"
In-hospital death,5638 (13.7%),3776 (32.9%),978 (63.9%)
Has county FIPS,40782 (99.0%),11376 (99.0%),1513 (98.9%)
Female,18100 (43.9%),5016 (43.6%),621 (40.6%)
Male,23087 (56.1%),6476 (56.4%),909 (59.4%)
Other/Unknown sex,0 (0.0%),0 (0.0%),0 (0.0%)
White,11801 (28.7%),3005 (26.1%),154 (10.1%)
Black,24370 (59.2%),7034 (61.2%),1174 (76.7%)
Asian,795 (1.9%),235 (2.0%),10 (0.7%)
AIAN,96 (0.2%),17 (0.1%),1 (0.1%)
NHPI,66 (0.2%),24 (0.2%),2 (0.1%)
Other/Unknown race,4059 (9.9%),1177 (10.2%),189 (12.4%)
Hispanic or Latino,2458 (6.0%),701 (6.1%),59 (3.9%)
Not Hispanic or Latino,36596 (88.9%),10200 (88.8%),1358 (88.8%)
Unknown ethnicity,2133 (5.2%),591 (5.1%),113 (7.4%)
